,el,er,ia,sr
694,1.0,10.0,0.0,0.0
695,11.0,-24.0,8.0,0.0
696,4.0,-2.0,2.0,0.0
697,1.0,10.0,0.0,0.0
698,4.0,6.0,2.0,0.0
699,1.0,10.0,0.0,0.0
700,1.0,10.0,0.0,0.0
701,1.0,10.0,0.0,0.0
702,2.0,10.0,0.0,0.0
703,1.0,10.0,0.0,0.0
704,2.0,10.0,0.0,0.0
705,1.0,10.0,0.0,0.0
706,2.0,10.0,0.0,0.0
707,2.0,0.0,1.0,0.0
708,1.0,10.0,0.0,0.0
709,4.0,10.0,0.0,0.0
710,1.0,10.0,0.0,0.0
711,3.0,8.0,1.0,0.0
712,1.0,10.0,0.0,0.0
713,1.0,10.0,0.0,0.0
714,2.0,10.0,0.0,0.0
715,1.0,10.0,0.0,0.0
716,1.0,10.0,0.0,0.0
717,1.0,10.0,0.0,0.0
718,5.0,4.0,3.0,0.0
719,1.0,10.0,0.0,0.0
720,2.0,10.0,0.0,0.0
721,1.0,10.0,0.0,0.0
722,1.0,10.0,0.0,0.0
723,1.0,10.0,0.0,0.0
724,6.0,-6.0,4.0,0.0
725,3.0,8.0,1.0,0.0
726,6.0,-4.0,3.0,0.0
727,2.0,10.0,0.0,0.0
728,1.0,10.0,0.0,0.0
729,1.0,10.0,0.0,0.0
730,1.0,10.0,0.0,0.0
731,1.0,10.0,0.0,0.0
732,1.0,10.0,0.0,0.0
733,1.0,10.0,0.0,0.0
734,2.0,0.0,1.0,0.0
735,2.0,10.0,0.0,0.0
736,1.0,10.0,0.0,0.0
737,1.0,10.0,0.0,0.0
738,3.0,8.0,1.0,0.0
739,1.0,10.0,0.0,0.0
740,1.0,10.0,0.0,0.0
741,1.0,10.0,0.0,0.0
742,2.0,10.0,0.0,0.0
743,1.0,10.0,0.0,0.0
744,1.0,10.0,0.0,0.0
745,2.0,10.0,0.0,0.0
746,2.0,10.0,0.0,0.0
747,1.0,10.0,0.0,0.0
748,4.0,8.0,1.0,0.0
749,3.0,-2.0,2.0,0.0
750,2.0,10.0,0.0,0.0
751,1.0,10.0,0.0,0.0
752,1.0,10.0,0.0,0.0
753,1.0,10.0,0.0,0.0
754,2.0,10.0,0.0,0.0
755,2.0,10.0,0.0,0.0
756,4.0,8.0,1.0,0.0
757,4.0,8.0,1.0,0.0
758,2.0,0.0,1.0,0.0
759,2.0,10.0,0.0,0.0
760,1.0,10.0,0.0,0.0
761,1.0,10.0,0.0,0.0
762,4.0,8.0,1.0,0.0
763,1.0,10.0,0.0,0.0
764,11.0,-18.0,9.0,0.0
